id,lon,lat
pt_ll_357,4.08,42.839999999999996
pt_ll_358,4.5,42.839999999999996
pt_ll_359,4.68,42.839999999999996
pt_ll_360,4.86,42.48
pt_ll_361,5.94,43.08
pt_ll_362,6.48,43.019999999999996
pt_ll_363,7.44,42.96
pt_ll_364,8.16,43.019999999999996
pt_ll_365,8.46,42.78
pt_ll_366,8.64,42.839999999999996
pt_ll_367,9.36,42.96
pt_ll_368,9.48,42.239999999999995
pt_ll_369,9.72,41.94
pt_ll_370,9.9,42.06
pt_ll_371,10.32,42.48
pt_ll_372,10.92,42.54
pt_ll_373,10.92,43.08
pt_ll_374,14.64,40.56
pt_ll_375,12.24,41.04
pt_ll_5763,8.64,36.9
pt_ll_376,8.64,37.02
pt_ll_377,8.76,37.08
pt_ll_378,8.82,37.38
pt_ll_379,9.3,37.5
pt_ll_380,9.0,37.8
pt_ll_381,9.12,37.86
pt_ll_382,9.36,37.98
pt_ll_383,9.72,37.98
pt_ll_384,10.08,38.04
pt_ll_385,10.56,38.1
pt_ll_386,10.8,38.16
pt_ll_387,11.34,38.52
pt_ll_388,11.46,38.64
pt_ll_389,11.16,38.88
pt_ll_390,11.52,39.24
pt_ll_391,10.08,40.32
pt_ll_392,9.0,41.76
pt_ll_393,11.76,39.36
pt_ll_394,12.12,39.42
pt_ll_395,12.42,39.6
pt_ll_396,12.6,39.6
pt_ll_397,12.84,39.84
pt_ll_398,13.32,39.96
pt_ll_399,12.96,40.14
pt_ll_400,13.14,40.32
pt_ll_401,13.32,40.44
pt_ll_402,13.5,40.56
pt_ll_403,13.68,40.68
pt_ll_404,14.04,40.68
pt_ll_405,14.64,40.56
pt_ll_5764,6.48,42.48
pt_ll_5765,8.28,42.12
pt_ll_5766,10.56,40.68
pt_ll_5767,11.52,41.04
pt_ll_5768,10.08,39.96
pt_ll_5769,10.32,38.16
pt_ll_5770,8.64,37.2
pt_ll_5771,10.08,38.64
pt_ll_406,4.14,42.6
pt_ll_407,4.44,42.3
pt_ll_408,5.94,42.54
pt_ll_409,6.12,42.839999999999996
pt_ll_410,6.72,42.72
pt_ll_411,7.32,42.72
pt_ll_412,7.32,42.54
pt_ll_413,5.04,42.3
pt_ll_414,4.56,41.58
pt_ll_415,5.04,41.4
pt_ll_416,6.0,42.06
pt_ll_417,6.36,42.18
pt_ll_418,4.62,42.12
pt_ll_5648,5.34,42.06
pt_ll_419,4.56,42.0
pt_ll_420,5.4,41.76
pt_ll_421,5.28,42.3
pt_ll_422,6.12,42.12
pt_ll_423,6.12,42.6
pt_ll_424,7.92,42.48
pt_ll_425,7.92,42.12
pt_ll_426,7.38,42.0
pt_ll_427,6.72,42.3
pt_ll_428,6.72,41.4
