Ptolemy,label,Pleiades
pt_ll_4043,Nisibis (Νίσιβις),874623
pt_ll_4047,Ballatha (Βάλλαθα),658399
pt_ll_5513,Karrhai (Κάῤῥαι),658427
pt_ll_5137,Zagmais (Ζαγμαΐς),874362
pt_ll_4102,Babulōn (Βαβυλών),893951
pt_ll_4105,Beana ē Biana (Βέανα ἢ Βίανα),915837
pt_ll_4107,Khoumana (Χούμανα),915846
pt_ll_5524,Bethana (Βέθανα),915839
pt_ll_4110,Thelmē (Θέλμη),915903
pt_ll_4111,Sorthida (Σόρθιδα),915898
pt_ll_4123,Ktēsiphōn (Κτησιφών),893976
pt_ll_4132,Kōmopolis (Κωμόπολις),876645
pt_ll_4134,Gaugamēla (Γαυγάμηλα),874478
pt_ll_4137,Gomara (Γόμαρα),876632
pt_ll_4138,Phousiana (Φουσίανα),876681
pt_ll_4143,Artemita (Ἀρτέμιτα),874362
pt_ll_4144,Sittakē (Σιττάκη),897847
pt_ll_6048,Sannina (Σάννινα),884914
pt_ll_4164,Kandus (Κάνδυς),884886
pt_ll_4167,Azaga (Ἄζαγα),884867
pt_ll_4168,Morounda (Μοροῦνδα),884893
pt_ll_4169,Tigrana (Τιγράνα),884924
pt_ll_4204,Khoana (Χόανα),60479
pt_ll_4230,Sousa (Σοῦσα),912936
pt_ll_4240,Taxiana (Ταξίανα),930252
pt_ll_4252,Aspadana (Ἀσπάδανα),902990
pt_ll_4253,Axima (Ἄξιμα),930168
pt_ll_4254,Poruospana (Πορυόσπανα),930237
pt_ll_4255,Persepolis (Περσέπολις),922695
pt_ll_4256,Nisergē (Νισέργη),930220
pt_ll_5544,Sukta (Σύκτα),930245
pt_ll_4257,Arboua (Ἀρβούα),930164
pt_ll_4258,Kotamba (Κοτάμβα),930203
pt_ll_4270,Orobatis polis (Ὀροβάτις πόλις),930222
pt_ll_4324,Pseudokēlis (Ψευδόκηλις),40259
pt_ll_4328,Sanina polis (Σανίνα πόλις),884914
pt_ll_5560,Mokhoura (Μόχουρα),814706
pt_ll_4422,Thoumna (Θούμνα),814743
pt_ll_4436,Domana (Δόμανα),857111
pt_ll_4446,Naskos mētropolis (Νάσκος μητρόπολις),39394
pt_ll_4462,Menambis basileion (Μέναμβις βασίλειον),40221
pt_ll_4512,Kanthatis polis (Κανθάτις πόλις),30221
pt_ll_4529,Karmana mētropolis (Κάρμανα μητρόπολις),29626
pt_ll_4553,Hurkania mētropolis (Ὑρκανία μητρόπολις),942333
pt_ll_5591,Baktra basileion (Βάκτρα βασίλειον),961886
pt_ll_4584,Alexandreia Ōxeianē (Ἀλεξάνδρεια Ὠξειανή),971693
pt_ll_4585,Indikomordana (Ἰνδικομορδάνα),60527
pt_ll_5592,Drepsa mētropolis (Δρέψα μητρόπολις),971746
pt_ll_4586,Alexandreia Eskhatē (Ἀλεξάνδρεια Ἐσχάτη),59672
pt_ll_4678,Parsis mētropolis (Παρσὶς μητρόπολις),60626
pt_ll_6303,Artoarta (Ἀρτοάρτα),60441
pt_ll_4997,Kondōta (Κόνδωτα),50668
