passage	continent	province	siteType	id	text	lonStr	latStr	lon	lonDeg	lonFract	lat	latDeg	latFract	adjustedLon	adjustedLat
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.33/	Libya	marmarice	interior-poleis	pt_ll_2868	Ἁλμύραι  (Halmurai )	νθʹβ ϛ"	λʹβ  γ"	59.667	59	0.667	30.833	30	0.833	29.64	32.28
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.33/	Libya	marmarice	interior-poleis	pt_ll_2869	Ταπόσιρις  (Taposiris )	νθʹβ  γ"	λʹβ  γ"	59.833	59	0.833	30.833	30	0.833	29.759999999999998	32.28
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.33/	Libya	marmarice	interior-poleis	pt_ll_2870	Κωβίου  (Kōbiou )	νθʹϛ"	λʹγ"	59.167	59	0.167	30.333	30	0.333	29.28	31.92
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.33/	Libya	marmarice	interior-poleis	pt_ll_2871	Ἀντιφίλου  (Antiphilou )	νθʹβ"	λʹγ"	59.5	59	0.5	30.333	30	0.333	29.520000000000003	31.92
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.33/	Libya	marmarice	interior-poleis	pt_ll_2872	Ἱέραξ  (Hierax )	νθʹβ ϛ"	λʹβ ϛ"	59.667	59	0.667	30.667	30	0.667	29.64	32.16
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.33/	Libya	marmarice	interior-poleis	pt_ll_2873	Φωμωθὶς ἢ Φαμουθίς  (Phōmōthis ē Phamouthis )	ξʹ	λʹβ ϛ"	60.0	60	0.0	30.667	30	0.667	29.880000000000003	32.16
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.33/	Libya	marmarice	interior-poleis	pt_ll_2874	Παλαιμάρεια κώμη  (Palaimareia kōmē )	ξʹ	λʹϛ"	60.0	60	0.0	30.167	30	0.167	29.880000000000003	31.799999999999997
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.34/	Libya	marmarice	interior-poleis	pt_ll_2875	Σκιαθίς  (Skiathis )	ξʹβ ϛ"	λʹγ"	60.667	60	0.667	30.333	30	0.333	30.36	31.92
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.35/	Libya	marmarice	interior-poleis	pt_ll_2876	Βακχίς  (Bakkhis )	ξʹβ"	κθʹβ ϛ"	60.5	60	0.5	29.667	29	0.667	30.240000000000002	31.439999999999998
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.35/	Libya	marmarice	interior-poleis	pt_ll_2877	Διονυσιάς  (Dionusias )	ξʹβ"	κθʹ	60.5	60	0.5	29.0	29	0.0	30.240000000000002	30.96
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.36/	Libya	marmarice	interior-poleis	pt_ll_2878	Ὄασις μικρά  (Oasis mikra )	ξʹδ"	κηʹβ  δ"	60.25	60	0.25	28.75	28	0.75	30.060000000000002	30.78
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.36/	Libya	marmarice	interior-poleis	pt_ll_2879	Ὄασις μεγάλη  (Oasis megalē )	νθʹβ  γ"	κϛʹβ  γ ιβ"	59.833	59	0.833	26.917	26	0.917	29.759999999999998	29.46
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.38/	Libya	marmarice	rivers	pt_ll_5867	τῆς ἐκτροπῆς τοῦ Δέλτα (tēs ektropēs tou Delta)	ξβʹ	λʹ	62.0	62	0.0	30.0	30	0.0	31.32	31.68
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.39/	Libya	marmarice	rivers	pt_ll_5868	τοῦ Παθμητικοῦ στόματος (tou Pathmētikou stomatos)	ξβʹβ ϛ"	λʹγ"	62.667	62	0.667	30.333	30	0.333	31.799999999999997	31.92
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.40/	Libya	marmarice	rivers	pt_ll_5869	θέσις (thesis)	ξβʹδ"	λʹιβ"	62.25	62	0.25	30.083	30	0.083	31.5	31.740000000000002
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.41/	Libya	marmarice	rivers	pt_ll_5870	ὁ καλούμενος Θερμουθιακὸς ἢ Φερμουθιακὸς ποταμὸς (ho kaloumenos Thermouthiakos ē Phermouthiakos potamos)	ξαʹβ"	λʹδ"	61.5	61	0.5	30.25	30	0.25	30.96	31.86
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.42/	Libya	marmarice	rivers	pt_ll_5871	ὁ καλούμενος Τάλυ ποταμὸς (ho kaloumenos Talu potamos)	ξαʹ	λʹβ  γ"	61.0	61	0.0	30.833	30	0.833	30.6	32.28
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.45/	Libya	marmarice	interior-poleis	pt_ll_5310	Ἑρμοῦ πόλις μικρά (Hermou polis mikra)	ξαʹ	λʹβ  γ"	61.0	61	0.0	30.833	30	0.833	30.6	32.28
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.45/	Libya	marmarice	interior-poleis	pt_ll_5311	Ἀνδρῶν πόλις (Andrōn polis)	ξαʹγ"	λʹγ"	61.333	61	0.333	30.333	30	0.333	30.839999999999996	31.92
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.45/	Libya	marmarice	interior-poleis	pt_ll_5312	Λητοῦς πόλις (Lētous polis)	ξαʹβ"	λʹιβ"	61.5	61	0.5	30.083	30	0.083	30.96	31.740000000000002
